column,count,mean,std,min,25%,50%,75%,max
N,42.0,14.095238095238095,2.6486031643898253,11.0,13.0,13.0,13.0,20.0
Spearman_Rho,35.0,0.22719999428005863,0.33260756963965227,-0.3980673985867754,0.019594486503404347,0.2095677418859744,0.44943100880436637,0.8347139111456217
Kendall_Tau_b,35.0,0.18545645979911618,0.2562030149446411,-0.2662908371668641,0.00100584544302975,0.1467951686835147,0.36380321740464283,0.6753816335059705
Descriptive_Bootstrap_CI_Lower,35.0,-0.2812310896276591,0.4153559058808651,-0.7529054853147141,-0.6119814143346098,-0.4254141879256344,0.03279950427029515,0.5392157748871287
Descriptive_Bootstrap_CI_Upper,35.0,0.6789918260585247,0.24915265035844575,-0.0124814198202173,0.6621675841519428,0.7411449079956547,0.8459419040120638,0.9720757654104693
Permutation_P_Value,42.0,0.385071016707853,0.35106760756177047,9.999000099990002e-05,0.015023497650234975,0.4268573142685731,0.6252374762523748,0.9512048795120488
Partial_Spearman_Rho,36.0,-0.047417568849709144,0.29681843422021603,-0.6105444796174326,-0.26063520846246846,-0.10996552527803005,0.1085481132757695,0.5924909940412524
Partial_Permutation_P_Value,36.0,0.45042717950427175,0.2654226044551985,0.0244975502449755,0.2378762123787621,0.408959104089591,0.7081541845815418,0.9228077192280773
Holm_Adjusted_P_Within_Outcome,42.0,0.6213664347850929,0.4319466924559014,0.0005999400059994,0.06604339566043395,0.8537146285371463,1.0,1.0
BH_FDR_Adjusted_P_Within_Outcome,42.0,0.4526928259554997,0.3683217358154331,0.0002999700029997,0.035996400359964,0.4268573142685731,0.845015498450155,0.9512048795120488
