State,Indicator,Value,Definition,Source_Label
New Mexico,Mean_BoardingSchool_Duration_Years,97.0,Mean operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
New Mexico,Schools_With_Burial_Site_Flag,1.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
New York,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
New York,Environmental_Burden_Index,8.6,Average PM2.5 exposure (ug/m^3),EPA/EJSCREEN-derived
New York,Federal_BoardingSchool_Presence,1.0,State had documented federally supported Indian boarding schools (DOI dataset),DOI Federal Indian Boarding School Initiative (2022)
New York,Max_BoardingSchool_Duration_Years,102.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
New York,Mean_BoardingSchool_Duration_Years,102.0,Mean operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
New York,Schools_With_Burial_Site_Flag,0.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
North Carolina,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
North Carolina,Environmental_Burden_Index,8.0,Average PM2.5 exposure (ug/m^3),EPA/EJSCREEN-derived
North Carolina,Federal_BoardingSchool_Presence,1.0,State had documented federally supported Indian boarding schools (DOI dataset),DOI Federal Indian Boarding School Initiative (2022)
North Carolina,Max_BoardingSchool_Duration_Years,20.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
North Carolina,Mean_BoardingSchool_Duration_Years,20.0,Mean operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
North Carolina,Schools_With_Burial_Site_Flag,0.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Oklahoma,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Oklahoma,Environmental_Burden_Index,9.4,Average PM2.5 exposure (ug/m^3),EPA/EJSCREEN-derived
Oklahoma,Federal_BoardingSchool_Presence,1.0,State had documented federally supported Indian boarding schools (DOI dataset),DOI Federal Indian Boarding School Initiative (2022)
