Indicator,Configured_Weight,Normalization_Method,Observed_States,Missing_States,Unique_NonNull_Values,Raw_Min,Raw_Max,Raw_Mean,Raw_STD,Is_Constant_Within_Sample,Included_In_Primary_Index,Exclusion_Reason
BoardingSchool_Count,1.0,zscore,13,7,11,3.0,76.0,22.23076923076923,20.940038373904468,False,True,
Environmental_Burden_Index,1.3,zscore,20,0,15,4.6,12.0,7.469999999999999,1.8849668432097153,False,True,
Federal_BoardingSchool_Presence,1.5,zscore,20,0,1,1.0,1.0,1.0,0.0,True,False,constant_within_sample
Max_BoardingSchool_Duration_Years,1.0,zscore,13,7,12,20.0,142.0,83.92307692307692,29.972966123239324,False,True,
Mean_BoardingSchool_Duration_Years,1.0,zscore,13,7,12,20.0,142.0,83.92307692307692,29.972966123239324,False,True,
Schools_With_Burial_Site_Flag,1.2,zscore,13,7,2,0.0,1.0,0.8461538461538461,0.36080121229410994,False,True,
