column,count,mean,std,min,25%,50%,75%,max
N,7.0,16.857142857142858,3.0783421635988546,13.0,14.0,19.0,19.0,20.0
Effect_Size,7.0,0.10768255443067898,0.2463203873056913,-0.1017990444643039,-0.06845108162254918,0.021084361260221476,0.19821428571428568,0.5749661560353623
Kendall_Tau_b,7.0,0.08965865764288819,0.20002703737727323,-0.07038153430777869,-0.052786150730834015,0.047619047619047616,0.13925805030752278,0.47742929103557097
Descriptive_Bootstrap_CI_Lower,7.0,-0.39866133107141805,0.20421797232724842,-0.53056708708323,-0.5036567727937035,-0.49782262509952835,-0.3957735265029291,0.03662099327609726
Descriptive_Bootstrap_CI_Upper,7.0,0.5963698599945524,0.2145420143337792,0.3914622074141141,0.42342830607537674,0.5205070685125445,0.7363715944322563,0.9430199430199429
Permutation_P_Value,7.0,0.6502064079306356,0.2658476130233248,0.1264873512648735,0.5958404159584042,0.7294270572942706,0.7857214278572142,0.9324067593240676
Partial_Spearman_Adjusted_Rho,6.0,-0.1683705832828376,0.2538834982413023,-0.5676860493491624,-0.23827187198971495,-0.1969193600886905,-0.022738983630926288,0.16803617059791248
Partial_Adjusted_P_Value,6.0,0.44478885444788857,0.2881680302766492,0.044795520447955206,0.32324267573242677,0.4153084691530847,0.554994500549945,0.8992100789921008
LeaveOneOut_Min_Rho,7.0,-0.019956094337910506,0.25857696181253986,-0.23748067181267857,-0.17139909356915062,-0.13356786884147873,0.05064935064935064,0.4728553661283838
LeaveOneOut_Max_Rho,7.0,0.26426603747104044,0.27557315524188714,0.03199174406604747,0.0629514963880289,0.14216763106221753,0.38961038961038963,0.7705791151721809
Max_Absolute_Rho_Shift,7.0,0.16439642137586094,0.03365295487055005,0.12950070803826658,0.13449303766563211,0.1546522301017002,0.19620807797000772,0.20521978021978018
Holm_Adjusted_P_Primary_Family,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
BH_FDR_Adjusted_P_Primary_Family,2.0,0.6827317268273173,0.0,0.6827317268273173,0.6827317268273173,0.6827317268273173,0.6827317268273173,0.6827317268273173
