column,count,mean,std,min,25%,50%,75%,max
Historical_Trauma_Index,173.0,0.0615479866205695,0.7608056511020872,-3.634010362307114,-0.30239258693240695,0.1404486572685868,0.5473164158993936,3.616088355673196
Rank,173.0,8.791907514450868,5.194198838395778,1.0,4.0,9.0,13.0,18.0
Primary_Score,180.0,0.010330541008121797,0.6527897383604891,-1.3790410297418936,-0.3062073221511883,0.03814559425411941,0.45883120451748666,1.5065087234745833
Primary_Rank,180.0,8.75,5.426888364287196,1.0,3.75,8.5,13.25,18.0
Score_Delta_vs_Primary,173.0,0.05236338781621125,0.41015454903557935,-2.2549693325652207,-0.06592158708420207,0.0,0.11780255159042008,2.1095796321986127
Rank_Shift_vs_Primary,173.0,0.017341040462427744,2.226881197004755,-9.0,-1.0,0.0,1.0,7.0
