dataset,column,dtype,non_null_count,missing_count,missing_pct,example_value,description
combined_indicator_table,State,object,92,0,0.0,Alaska,
combined_indicator_table,Indicator,object,92,0,0.0,BoardingSchool_Count,
combined_indicator_table,Value,float64,92,0,0.0,21.0,
combined_indicator_table,Definition,object,92,0,0.0,"Number of boarding schools recorded for the state, using aggregated DOI counts when encoded in the source label and unique rows otherwise.",
combined_indicator_table,Source_Label,object,92,0,0.0,Federal Indian Boarding School listing,
