column,count,mean,std,min,25%,50%,75%,max
N_Included,3.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0
N_Excluded,3.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0
Mean_Included,3.0,3044699.0330365393,5082594.240757775,5.099109618238951,110961.20340096296,221917.3076923077,4567046.0,8912174.692307692
Mean_Excluded,3.0,3461204.472370898,5903181.598277642,2.1313984085220214,53139.065699204264,106276.0,5191805.642857143,10277335.285714285
Median_Included,3.0,1948743.7899923914,3255057.032155112,2.369977173906887,69868.68498858696,139735.0,2923114.5,5706494.0
Median_Excluded,3.0,1951185.264011807,3310647.6689545764,1.7920354212210718,39920.89601771061,79840.0,2926777.0,5773714.0
MannWhitney_U,3.0,61.666666666666664,16.19670748434179,43.0,56.5,70.0,71.0,72.0
Permutation_P_Value,3.0,0.3242009132420091,0.47909021650514716,0.034996500349965,0.0476952304769523,0.0603939606039396,0.46880311968803123,0.8772122787721228
