State,Indicator,Value,Definition,Source_Label
New Mexico,Max_BoardingSchool_Duration_Years,70.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
New York,Max_BoardingSchool_Duration_Years,40.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
North Carolina,Max_BoardingSchool_Duration_Years,54.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Oklahoma,Max_BoardingSchool_Duration_Years,75.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Oregon,Max_BoardingSchool_Duration_Years,56.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
South Dakota,Max_BoardingSchool_Duration_Years,74.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Texas,Max_BoardingSchool_Duration_Years,54.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Utah,Max_BoardingSchool_Duration_Years,52.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Washington,Max_BoardingSchool_Duration_Years,61.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Alaska,Schools_With_Burial_Site_Flag,0.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Arizona,Schools_With_Burial_Site_Flag,1.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
California,Schools_With_Burial_Site_Flag,0.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Colorado,Schools_With_Burial_Site_Flag,0.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Florida,Schools_With_Burial_Site_Flag,0.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Idaho,Schools_With_Burial_Site_Flag,0.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Michigan,Schools_With_Burial_Site_Flag,0.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Minnesota,Schools_With_Burial_Site_Flag,1.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Montana,Schools_With_Burial_Site_Flag,1.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Nevada,Schools_With_Burial_Site_Flag,0.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
New Jersey,Schools_With_Burial_Site_Flag,0.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
New Mexico,Schools_With_Burial_Site_Flag,1.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
New York,Schools_With_Burial_Site_Flag,0.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
North Carolina,Schools_With_Burial_Site_Flag,0.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Oklahoma,Schools_With_Burial_Site_Flag,1.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Oregon,Schools_With_Burial_Site_Flag,0.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
South Dakota,Schools_With_Burial_Site_Flag,1.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Texas,Schools_With_Burial_Site_Flag,0.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Utah,Schools_With_Burial_Site_Flag,0.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Washington,Schools_With_Burial_Site_Flag,0.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
