iteration,weight__BoardingSchool_Count,weight__Environmental_Burden_Index,weight__Max_BoardingSchool_Duration_Years,weight__Mean_BoardingSchool_Duration_Years,weight__Schools_With_Burial_Site_Flag,rho__Mean_Mortality_Disparity_Ratio,rho__Disparity_Ratio_Diabetes,rho__Disparity_Ratio_Liver_Disease,rho__Disparity_Ratio_Suicide,rho__AI_AN_Missing_Rate_per_100k_AI_AN,rho__AI_AN_Missing,rho__AI_AN_Population_Percent
0,0.3209295336826644,0.31184991834785514,0.3183335399314935,0.03734877698258621,0.01153823105540079,0.09302326476910529,0.046511632384552644,0.10267662243382376,0.15714285714285714,0.14285714285714285,0.4566716837410054,0.12048206434412272
1,0.20423267788821203,0.19822941781092396,0.4392515132217516,0.011148142361336029,0.14713824871777614,0.18604652953821058,0.183413795629651,0.2325581619227632,0.06071428571428571,0.25274725274725274,0.5667130533171513,0.310241315686116
2,0.01562034243984966,0.2415078638869101,0.3839486673421817,0.08579992227088257,0.27312320406017593,0.036858274719834175,0.05002194426263209,0.07985959522630737,0.13928571428571426,0.24175824175824176,0.4869330603744456,0.2048195093850086
3,0.0820248992030447,0.04884865176527594,0.1681211891049698,0.4807128540547708,0.22029240587193866,0.2193944923799653,0.2325581619227632,0.24659940943508105,-0.05714285714285713,0.3736263736263736,0.5199454712472893,0.5180728766797277
4,0.24026011040712308,0.043063242679767307,0.35401307723109854,0.23635009278317412,0.12631347689883712,0.2035980889286078,0.21851691441044543,0.2448442534960413,-0.05714285714285713,0.4010989010989011,0.5667130533171513,0.5120487734625215
5,0.2301248977026042,0.2501162121632074,0.04252681831611904,0.0991109367344063,0.37812113508366324,0.17727074984301197,0.1886792634467702,0.25186487725220014,0.175,0.3131868131868132,0.6024764984293989,0.2936750318387991
6,0.12700324881953926,0.4130860361644143,0.23150292468959638,0.07774482563324187,0.15066296469320825,-0.08073717319582724,-0.12549364964134016,-0.05002194426263209,0.28928571428571426,0.016483516483516484,0.3218710060102268,-0.05271090315055369
7,0.2583626941787036,0.13846587286824572,0.12963756048128355,0.3539496229731783,0.11958424949858883,0.22992542801420368,0.2290478500446838,0.2922334638501138,0.010714285714285713,0.39560439560439564,0.6354889093022426,0.39759081233560495
8,0.265903145951499,0.2772995704229809,0.21613596527078816,0.014559820172160565,0.2261014981825714,0.17025012608685308,0.17814832781253184,0.2325581619227632,0.1857142857142857,0.2582417582417582,0.5529578821201331,0.25903643833986384
9,0.41760613758889326,0.34597762838014084,0.08635232304267532,0.09895973113942601,0.05110417984886467,0.0860026410129464,0.06581834771398959,0.1219833377632607,0.1857142857142857,0.1868131868131868,0.5006882315714638,0.13102424497423343
