Outcome,N,Association_Type,Effect_Size,Kendall_Tau_b,Descriptive_Bootstrap_CI_Lower,Descriptive_Bootstrap_CI_Upper,CI_Interpretation,Permutation_P_Value,Permutation_Mode,Partial_Spearman_Adjusted_Rho,Partial_Adjusted_P_Value,Partial_Permutation_Mode,Confounders_Used,Evidence_Label,Interpretation_Label,LeaveOneOut_Min_Rho,LeaveOneOut_Max_Rho,Most_Influential_State,Max_Absolute_Rho_Shift,Holm_Adjusted_P_Primary_Family,BH_FDR_Adjusted_P_Primary_Family,Weighting_Scheme
AI_AN_Missing,13,Spearman rank correlation,0.5997254641899951,0.5032362797401965,0.052870873523513696,0.9502486779148834,descriptive_only_not_for_inference,0.1075892410758924,permutation,0.18025029887019384,0.5625437456254374,permutation,AI_AN_Population_Percent,exploratory,exploratory_ecological_only,0.5043790572036094,0.795097541564023,Washington,0.19537207737402795,,,equal
AI_AN_Missing_Rate_per_100k_AI_AN,13,Spearman rank correlation,0.3021978021978022,0.2564102564102564,-0.30682378361075546,0.8310095869333649,descriptive_only_not_for_inference,0.46715328467153283,permutation,-0.6008508200205324,0.028897110288971104,permutation,AI_AN_Population_Percent,exploratory,exploratory_ecological_only,0.21678321678321683,0.5034965034965035,Washington,0.20129870129870137,0.9343065693430657,0.7510248975102489,equal
AI_AN_Population_Percent,20,Spearman rank correlation,0.04819282573764909,0.058357285367106965,-0.44227427385017387,0.5296014816780813,descriptive_only_not_for_inference,0.8377162283771623,permutation,,,,,ecological_inferential,ecological_inferential_not_individual_level,-0.10193337358954954,0.1720052820258928,Oklahoma,0.15012619932719862,,,equal
Disparity_Ratio_Diabetes,19,Spearman rank correlation,-0.062308035835910144,-0.04692102287185246,-0.4854649803591025,0.41108680531875885,descriptive_only_not_for_inference,0.7996200379962004,permutation,-0.18729813994478825,0.4373562643735626,permutation,AI_AN_Population_Percent,exploratory,exploratory_ecological_only,-0.14145587842755203,0.07120743034055728,Texas,0.13351546617646742,,,equal
Disparity_Ratio_Liver_Disease,19,Spearman rank correlation,-0.05177710020167182,-0.035190767153889344,-0.49245851956282455,0.4561609439674547,descriptive_only_not_for_inference,0.839016098390161,permutation,-0.2275823096962977,0.3477652234776522,permutation,AI_AN_Population_Percent,exploratory,exploratory_ecological_only,-0.18069181550964675,0.07946336429308565,Texas,0.13124046449475746,,,equal
Disparity_Ratio_Suicide,15,Spearman rank correlation,0.075,0.009523809523809525,-0.5321648097685489,0.6390499048999186,descriptive_only_not_for_inference,0.8128187181281872,permutation,-0.008274277701862731,0.9758024197580242,permutation,AI_AN_Population_Percent,exploratory,exploratory_ecological_only,-0.1384615384615385,0.2527472527472528,North Carolina,0.21346153846153848,,,equal
Mean_Mortality_Disparity_Ratio,19,Spearman rank correlation,-0.08073717319582724,-0.05865127858981557,-0.5200088573500024,0.42473790322580657,descriptive_only_not_for_inference,0.7510248975102489,permutation,-0.2496631953237935,0.296970302969703,permutation,AI_AN_Population_Percent,exploratory,exploratory_ecological_only,-0.21476512929146582,0.05675954592363261,Texas,0.13749671911945985,0.9343065693430657,0.7510248975102489,equal
