Outcome,N,Association_Type,Effect_Size,Kendall_Tau_b,Descriptive_Bootstrap_CI_Lower,Descriptive_Bootstrap_CI_Upper,CI_Interpretation,Permutation_P_Value,Permutation_Mode,Partial_Spearman_Adjusted_Rho,Partial_Adjusted_P_Value,Partial_Permutation_Mode,Confounders_Used,Evidence_Label,Interpretation_Label,LeaveOneOut_Min_Rho,LeaveOneOut_Max_Rho,Most_Influential_State,Max_Absolute_Rho_Shift,Holm_Adjusted_P_Primary_Family,BH_FDR_Adjusted_P_Primary_Family
AI_AN_Missing,13,Spearman rank correlation,0.5749661560353623,0.47742929103557097,0.03662099327609726,0.9430199430199429,descriptive_only_not_for_inference,0.1264873512648735,permutation,0.16803617059791248,0.6002399760023998,permutation,AI_AN_Population_Percent,exploratory,exploratory_ecological_only,0.4728553661283838,0.7705791151721809,Washington,0.19561295913681864,,
AI_AN_Missing_Rate_per_100k_AI_AN,13,Spearman rank correlation,0.2857142857142857,0.23076923076923078,-0.3201188381323633,0.8000142450142451,descriptive_only_not_for_inference,0.5089491050894911,permutation,-0.5676860493491624,0.044795520447955206,permutation,AI_AN_Population_Percent,exploratory,exploratory_ecological_only,0.1958041958041958,0.4825174825174825,California,0.1968031968031968,1.0,0.6827317268273173
AI_AN_Population_Percent,20,Spearman rank correlation,0.021084361260221476,0.04774686984581479,-0.4714282148734949,0.5205070685125445,descriptive_only_not_for_inference,0.9324067593240676,permutation,,,,,ecological_inferential,ecological_inferential_not_individual_level,-0.13356786884147873,0.14216763106221753,Oklahoma,0.1546522301017002,,
Disparity_Ratio_Diabetes,19,Spearman rank correlation,-0.08512506304342654,-0.05865127858981557,-0.5009126338848499,0.3914622074141141,descriptive_only_not_for_inference,0.7304269573042695,permutation,-0.1944373126235452,0.41925807419258077,permutation,AI_AN_Population_Percent,exploratory,exploratory_ecological_only,-0.16417142094876477,0.04437564499484004,Texas,0.12950070803826658,,
Disparity_Ratio_Liver_Disease,19,Spearman rank correlation,-0.05177710020167182,-0.04692102287185246,-0.49782262509952835,0.44732138902948254,descriptive_only_not_for_inference,0.841015898410159,permutation,-0.1994014075538358,0.41135886411358863,permutation,AI_AN_Population_Percent,exploratory,exploratory_ecological_only,-0.1786267661895365,0.08152734778121776,Texas,0.13330444798288957,,
Disparity_Ratio_Suicide,15,Spearman rank correlation,0.11071428571428568,0.047619047619047616,-0.5064009117025571,0.6727289438502675,descriptive_only_not_for_inference,0.7294270572942706,permutation,0.03449379269994668,0.8992100789921008,permutation,AI_AN_Population_Percent,exploratory,exploratory_ecological_only,-0.0945054945054945,0.2967032967032967,North Carolina,0.20521978021978018,,
Mean_Mortality_Disparity_Ratio,19,Spearman rank correlation,-0.1017990444643039,-0.07038153430777869,-0.53056708708323,0.39953522312127093,descriptive_only_not_for_inference,0.6827317268273173,permutation,-0.2512286934683413,0.29387061293870614,permutation,AI_AN_Population_Percent,exploratory,exploratory_ecological_only,-0.23748067181267857,0.03199174406604747,North Carolina,0.13568162734837466,1.0,0.6827317268273173
