column,count,mean,std,min,25%,50%,75%,max
N,7.0,16.857142857142858,3.0783421635988546,13.0,14.0,19.0,19.0,20.0
Effect_Size,7.0,0.11861339755600528,0.24951265048619936,-0.08073717319582724,-0.057042568018790984,0.04819282573764909,0.1885989010989011,0.5997254641899951
Kendall_Tau_b,7.0,0.09810922320368742,0.2089622197748571,-0.05865127858981557,-0.0410558950128709,0.009523809523809525,0.15738377088868166,0.5032362797401965
Descriptive_Bootstrap_CI_Lower,7.0,-0.38947490728255624,0.20916819789756544,-0.5321648097685489,-0.5062336884564135,-0.4854649803591025,-0.3745490287304647,0.052870873523513696
Descriptive_Bootstrap_CI_Upper,7.0,0.6059850434197527,0.21188217583065697,0.41108680531875885,0.44044942359663064,0.5296014816780813,0.7350297459166417,0.9502486779148834
Permutation_P_Value,7.0,0.6592769294499121,0.27601525056583925,0.1075892410758924,0.6090890910908908,0.7996200379962004,0.8252674732526748,0.839016098390161
Partial_Spearman_Adjusted_Rho,6.0,-0.18223640730284676,0.2621166553145753,-0.6008508200205324,-0.24414297391691955,-0.20744022482054297,-0.05303024326259411,0.18025029887019384
Partial_Adjusted_P_Value,6.0,0.44155584441555845,0.3162480046415851,0.028897110288971104,0.3096690330966903,0.3925607439256074,0.5312468753124687,0.9758024197580242
LeaveOneOut_Min_Rho,7.0,-0.008020780184703782,0.2674846521450739,-0.21476512929146582,-0.1610738469685994,-0.1384615384615385,0.057424921596833656,0.5043790572036094
LeaveOneOut_Max_Rho,7.0,0.2758252743415639,0.2772499826105174,0.05675954592363261,0.07533539731682146,0.1720052820258928,0.37812187812187814,0.795097541564023
Max_Absolute_Rho_Shift,7.0,0.16607302375030733,0.03579842259915792,0.13124046449475746,0.13550609264796365,0.15012619932719862,0.19833538933636466,0.21346153846153848
Holm_Adjusted_P_Primary_Family,2.0,0.9343065693430657,0.0,0.9343065693430657,0.9343065693430657,0.9343065693430657,0.9343065693430657,0.9343065693430657
BH_FDR_Adjusted_P_Primary_Family,2.0,0.7510248975102489,0.0,0.7510248975102489,0.7510248975102489,0.7510248975102489,0.7510248975102489,0.7510248975102489
