State,Structural_Exposure_Composite,Scheme,Scheme_Type,Normalization_Method,Scheme_Note,Rank,Primary_Score,Primary_Rank,Score_Delta_vs_Primary,Rank_Shift_vs_Primary
Oregon,0.2448573887411482,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,6.0,-0.19718357586024285,11.0,0.4420409646013911,-5.0
Nevada,0.22110206006308042,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,7.0,-0.21288394636967276,12.0,0.4339860064327532,-5.0
California,0.04532856265927223,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,8.0,0.6095660548212583,3.0,-0.564237492161986,5.0
Idaho,0.006586322539333096,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,9.0,0.6525313718015117,2.0,-0.6459450492621786,7.0
New Jersey,0.006586322539333096,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,9.0,0.6525313718015117,2.0,-0.6459450492621786,7.0
Texas,0.006586322539333096,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,9.0,0.6525313718015117,2.0,-0.6459450492621786,7.0
Florida,0.002302535521880679,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,10.0,0.22812072347532591,6.0,-0.22581818795344524,4.0
Utah,-0.0030521982499348487,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,11.0,-0.30239258693240695,13.0,0.2993403886824721,-2.0
Colorado,-0.006800511890205719,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,12.0,-0.67375190421782,15.0,0.6669513923276144,-3.0
Montana,-0.009477878776113483,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,13.0,-0.9390085594216865,17.0,0.929530680645573,-4.0
Minnesota,-0.3425098535105799,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,14.0,0.004152869946428222,9.0,-0.3466627234570081,5.0
New York,-0.5140637302403817,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,15.0,-0.3176515278075324,14.0,-0.19641220243284924,1.0
Michigan,-1.2434337962758617,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,16.0,-0.1917673196079359,10.0,-1.0516664766679258,6.0
Washington,-1.8363054858724248,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,17.0,-0.8236723556411192,16.0,-1.0126331302313056,1.0
North Carolina,-3.634010362307114,pca_pc1,pca,zscore,First principal component score oriented to align with the primary index.,18.0,-1.3790410297418936,18.0,-2.2549693325652207,0.0
Oklahoma,1.5065087234745833,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,1.0,1.5065087234745833,1.0,0.0,0.0
Idaho,0.6525313718015117,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,2.0,0.6525313718015117,2.0,0.0,0.0
New Jersey,0.6525313718015117,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,2.0,0.6525313718015117,2.0,0.0,0.0
Texas,0.6525313718015117,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,2.0,0.6525313718015117,2.0,0.0,0.0
California,0.6095660548212583,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,3.0,0.6095660548212583,3.0,0.0,0.0
Alaska,0.4085862544162295,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,4.0,0.4085862544162295,4.0,0.0,0.0
South Dakota,0.2509263213097866,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,5.0,0.2509263213097866,5.0,0.0,0.0
Florida,0.22812072347532591,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,6.0,0.22812072347532591,6.0,0.0,0.0
Arizona,0.20637024435278886,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,7.0,0.20637024435278886,7.0,0.0,0.0
New Mexico,0.0721383185618106,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,8.0,0.0721383185618106,8.0,0.0,0.0
Minnesota,0.004152869946428222,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,9.0,0.004152869946428222,9.0,0.0,0.0
Michigan,-0.1917673196079359,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,10.0,-0.1917673196079359,10.0,0.0,0.0
Oregon,-0.19718357586024285,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,11.0,-0.19718357586024285,11.0,0.0,0.0
Nevada,-0.21288394636967276,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,12.0,-0.21288394636967276,12.0,0.0,0.0
Utah,-0.30239258693240695,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,13.0,-0.30239258693240695,13.0,0.0,0.0
New York,-0.3176515278075324,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,14.0,-0.3176515278075324,14.0,0.0,0.0
Colorado,-0.67375190421782,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,15.0,-0.67375190421782,15.0,0.0,0.0
Washington,-0.8236723556411192,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,16.0,-0.8236723556411192,16.0,0.0,0.0
Montana,-0.9390085594216865,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,17.0,-0.9390085594216865,17.0,0.0,0.0
North Carolina,-1.3790410297418936,primary,configured_weights,zscore,Configured weights after dropping constant indicators.,18.0,-1.3790410297418936,18.0,0.0,0.0
Oklahoma,1.3709277266957003,temporal_only_2020,temporal_only,zscore,Re-run using only 2020-era indicators.,1.0,1.5065087234745833,1.0,-0.13558099677888302,0.0
Arizona,0.4742864036615192,temporal_only_2020,temporal_only,zscore,Re-run using only 2020-era indicators.,2.0,0.20637024435278886,7.0,0.26791615930873036,-5.0
Nevada,0.45343427987002666,temporal_only_2020,temporal_only,zscore,Re-run using only 2020-era indicators.,3.0,-0.21288394636967276,12.0,0.6663182262396994,-9.0
New Mexico,0.432582156078534,temporal_only_2020,temporal_only,zscore,Re-run using only 2020-era indicators.,4.0,0.0721383185618106,8.0,0.3604438375167234,-4.0
Alaska,0.3908779084955488,temporal_only_2020,temporal_only,zscore,Re-run using only 2020-era indicators.,5.0,0.4085862544162295,4.0,-0.017708345920680657,1.0
Oregon,0.3908779084955488,temporal_only_2020,temporal_only,zscore,Re-run using only 2020-era indicators.,5.0,-0.19718357586024285,11.0,0.5880614843557916,-6.0
South Dakota,0.2657651657465933,temporal_only_2020,temporal_only,zscore,Re-run using only 2020-era indicators.,6.0,0.2509263213097866,5.0,0.01483884443680672,1.0
California,0.22406091816360815,temporal_only_2020,temporal_only,zscore,Re-run using only 2020-era indicators.,7.0,0.6095660548212583,3.0,-0.38550513665765007,4.0
Minnesota,-0.08872093870878062,temporal_only_2020,temporal_only,zscore,Re-run using only 2020-era indicators.,8.0,0.004152869946428222,9.0,-0.09287380865520883,-1.0
Michigan,-0.3806506717896768,temporal_only_2020,temporal_only,zscore,Re-run using only 2020-era indicators.,9.0,-0.1917673196079359,10.0,-0.18888335218174093,-1.0
New York,-0.502510717197604,temporal_only_2020,temporal_only,zscore,Re-run using only 2020-era indicators.,10.0,-0.3176515278075324,14.0,-0.18485918939007157,-4.0
Washington,-0.8185452714110211,temporal_only_2020,temporal_only,zscore,Re-run using only 2020-era indicators.,11.0,-0.8236723556411192,16.0,0.005127084230098111,-5.0
North Carolina,-2.212384868099996,temporal_only_2020,temporal_only,zscore,Re-run using only 2020-era indicators.,12.0,-1.3790410297418936,18.0,-0.8333438383581024,-6.0
