State,Structural_Exposure_Composite,Scheme,Scheme_Type,Normalization_Method,Scheme_Note,Rank,Primary_Score,Primary_Rank,Score_Delta_vs_Primary,Rank_Shift_vs_Primary
Oklahoma,1.2706725824976097,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,1.0,1.5065087234745833,1.0,-0.23583614097697359,0.0
California,0.8535972940254859,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,2.0,0.6095660548212583,3.0,0.24403123920422765,-1.0
Idaho,0.6525313718015117,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,3.0,0.6525313718015117,2.0,0.0,1.0
New Jersey,0.6525313718015117,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,3.0,0.6525313718015117,2.0,0.0,1.0
Texas,0.6525313718015117,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,3.0,0.6525313718015117,2.0,0.0,1.0
Alaska,0.5124445070192751,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,4.0,0.4085862544162295,4.0,0.10385825260304565,0.0
Florida,0.22812072347532591,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,5.0,0.22812072347532591,6.0,0.0,-1.0
South Dakota,0.22423822448911374,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,6.0,0.2509263213097866,5.0,-0.026688096820672857,1.0
Minnesota,0.01813703711174017,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,7.0,0.004152869946428222,9.0,0.013984167165311949,-2.0
Arizona,-0.010628508288079363,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,8.0,0.20637024435278886,7.0,-0.21699875264086824,1.0
Michigan,-0.05152397903977543,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,9.0,-0.1917673196079359,10.0,0.14024334056816046,-1.0
Nevada,-0.056108565363365406,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,10.0,-0.21288394636967276,12.0,0.15677538100630733,-2.0
Oregon,-0.10059309611854965,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,11.0,-0.19718357586024285,11.0,0.0965904797416932,0.0
New Mexico,-0.13224050259554274,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,12.0,0.0721383185618106,8.0,-0.20437882115735334,4.0
New York,-0.18415783156519389,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,13.0,-0.3176515278075324,14.0,0.13349369624233853,-1.0
Utah,-0.30239258693240695,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,14.0,-0.30239258693240695,13.0,0.0,1.0
Colorado,-0.67375190421782,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,15.0,-0.67375190421782,15.0,0.0,0.0
Washington,-0.9299754772285524,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,16.0,-0.8236723556411192,16.0,-0.10630312158743327,0.0
Montana,-0.9390085594216865,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,17.0,-0.9390085594216865,17.0,0.0,0.0
North Carolina,-1.4920239793442351,leave_out_BoardingSchool_Count,leave_one_indicator_out,zscore,Configured weights after removing BoardingSchool_Count.,18.0,-1.3790410297418936,18.0,-0.11298294960234156,0.0
Oklahoma,1.6558904960231442,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,1.0,1.5065087234745833,1.0,0.1493817725485609,0.0
Arizona,0.6429955054651326,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,2.0,0.20637024435278886,7.0,0.4366252611123438,-5.0
New Mexico,0.5657395031479069,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,3.0,0.0721383185618106,8.0,0.49360118458609625,-5.0
South Dakota,0.29082649699807456,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,4.0,0.2509263213097866,5.0,0.039900175688287964,-1.0
Alaska,0.28381748211625735,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,5.0,0.4085862544162295,4.0,-0.12476877229997213,1.0
